x,y
831741.496263057,1644151.371740638
831740.496332568,1644151.381016590
831739.496408757,1644151.389237966
831738.496956336,1644151.359956433
831737.501104811,1644151.269765042
831736.508577365,1644151.148014558
831735.518711079,1644151.006348173
831734.532873480,1644150.839173542
831733.550940211,1644150.650089505
831732.571644731,1644150.447743318
831731.596691374,1644150.225845577
831730.625976231,1644149.985636858
831729.656321941,1644149.741156680
831728.686497333,1644149.497362907
831727.715043281,1644149.260135142
831726.743347996,1644149.023913140
831725.766293828,1644148.810983134
831724.784871116,1644148.619140122
831723.802253808,1644148.433497562
831722.819416678,1644148.249024753
831721.837352300,1644148.060563643
831720.857643542,1644147.860196569
831719.879917156,1644147.650337968
831718.904451013,1644147.430208704
831717.930244752,1644147.204549313
831716.957222412,1644146.973942876
831715.987039147,1644146.731584401
831715.018338207,1644146.483366204
831714.050745109,1644146.230854792
831713.084218100,1644145.974294398
831712.117366287,1644145.718983869
831711.153039644,1644145.454301280
831710.192839280,1644145.175128875
831709.239096692,1644144.874642290
831708.290941105,1644144.556885378
831707.348511093,1644144.222490391
831706.406323601,1644143.887433056
831705.460129543,1644143.563876138
831704.508833732,1644143.255690960
831703.553167523,1644142.961258920
831702.600708868,1644142.656622070
831701.650665645,1644142.344518636
831700.704367227,1644142.021275342
831699.755706006,1644141.705005595
831698.806821825,1644141.389381682
831697.859652715,1644141.068665921
831696.911365595,1644140.751253515
831695.961298650,1644140.439239709
831695.012567638,1644140.123214205
831694.058486685,1644139.823744026
831693.101842253,1644139.532489451
831692.143559980,1644139.246795568
831691.181571170,1644138.973715657
831690.216696186,1644138.711013516
831689.248879067,1644138.459501504
831688.277975045,1644138.220052519
831687.303643128,1644137.994985795
831686.323803765,1644137.796043508
831685.337651712,1644137.630465779
831684.344404414,1644137.514932557
831683.348343608,1644137.427404541
831682.350434202,1644137.362952196
831681.351017626,1644137.331010474
831680.351153390,1644137.315039257
831679.351176496,1644137.310046685
831678.351204585,1644137.303983898
831677.351548677,1644137.278793169
831676.352364282,1644137.238462707
831675.353393671,1644137.193982684
831674.355072900,1644137.136108837
831673.356661468,1644137.079793045
831672.358453030,1644137.019960651
831671.360036389,1644136.963886095
831670.361066791,1644136.918718713
831669.362709209,1644136.861863495
831668.364395953,1644136.803954040
831667.366817869,1644136.734545398
831666.370073126,1644136.654044444
831665.371837375,1644136.595555425
831664.372754516,1644136.553181160
831663.373078379,1644136.529415133
831662.373175241,1644136.533873101
831661.373383132,1644136.553560111
831660.374422732,1644136.597854503
831659.376792275,1644136.666295050
831658.380838892,1644136.755722704
831657.387924921,1644136.873786716
831656.399692397,1644137.026591839
831655.412956613,1644137.188925241
831654.427031931,1644137.356097722
831653.442503837,1644137.531306796
831652.456566980,1644137.698421273
831651.471824447,1644137.872276326
831650.491280302,1644138.068308457
831649.514018144,1644138.280323569
831648.540586972,1644138.509156298
831647.575148421,1644138.769689255
831646.613196795,1644139.042866805
831645.655225031,1644139.329655433
831644.700026475,1644139.625614427
831643.747358763,1644139.929553543
831642.798945867,1644140.246568996
831641.856644932,1644140.581256616
831640.919288443,1644140.929615186
831639.982396287,1644141.279226423
831639.049284198,1644141.638775599
831638.116918443,1644142.000291987
831637.186700288,1644142.367272245
831636.263412463,1644142.751343537
831635.340288554,1644143.135839689
831634.421693518,1644143.530988116
831633.504586390,1644143.929622391
831632.589193881,1644144.332183038
831631.676618101,1644144.741043486
831630.762575369,1644145.146535606
831629.840354552,1644145.533184295
831628.920843392,1644145.926242456
831627.999460262,1644146.314885300
831627.084258584,1644146.717551637
831626.178597489,1644147.141552374
831625.274807944,1644147.569520993
831624.371511042,1644147.998525893
831623.466822462,1644148.424598041
831622.564125946,1644148.854872721
831621.662426503,1644149.287230856
831620.761392766,1644149.720978602
831619.853606286,1644150.140348668
831618.937611568,1644150.541450115
831618.012684074,1644150.921480495
831617.081952454,1644151.287167711
831616.148704662,1644151.646383886
831615.212803665,1644151.998639966
831614.282319243,1644152.364905237
831613.351388128,1644152.730093538
831612.417769600,1644153.088343891
831611.482313906,1644153.441639021
831610.536953657,1644153.767658185
831609.591393885,1644154.093102854
831608.644455181,1644154.414442931
831607.695414593,1644154.729546035
831606.750133306,1644155.055785731
831605.804032894,1644155.379656036
831604.862374746,1644155.716046026
831603.920541551,1644156.052059063
831602.973451317,1644156.373000797
831602.024464799,1644156.688263885
831601.069282816,1644156.984231197
831600.111146518,1644157.270534593
831599.152358250,1644157.554653312
831598.192024906,1644157.833490093
831597.232089389,1644158.113692137
831596.275480756,1644158.405059259
831595.319809729,1644158.699495819
831594.364948572,1644158.996524427
831593.407881162,1644159.286386339
831592.450438431,1644159.575000698
831591.488776039,1644159.849199841
831590.525698416,1644160.118423713
831589.559207561,1644160.374963701
831588.587057293,1644160.609264943
831587.615258527,1644160.845073942
831586.642960938,1644161.078819719
831585.670492815,1644161.311839430
831584.701023902,1644161.557049279
831583.733078117,1644161.808178628
831582.767150818,1644162.066978453
831581.804928131,1644162.339202391
831580.844261293,1644162.616905878
831579.884975056,1644162.899295948
831578.928652570,1644163.191589269
831577.973941073,1644163.489114567
831577.022175539,1644163.795907908
831576.071448625,1644164.105906899
831575.116917976,1644164.403967757
831574.159229071,1644164.691724542
831573.196092369,1644164.960664940
831572.228959359,1644165.214874027
831571.259755073,1644165.461126591
831570.286246562,1644165.689660889
831569.308288582,1644165.898371302
831568.327455154,1644166.093153811
831567.345532787,1644166.282436182
831566.364008814,1644166.473773380
831565.383148498,1644166.668477005
831564.403266264,1644166.868033474
831563.421149958,1644167.056269157
831562.439103047,1644167.244809291
831561.457232761,1644167.434342020
831560.475125180,1644167.622639225
831559.494715497,1644167.819590713
831558.515293858,1644168.021411472
831557.538426592,1644168.235170327
831556.565547685,1644168.466390742
831555.598440649,1644168.720442439
831554.638232286,1644168.999616094
831553.684824439,1644169.301147859
831552.739556856,1644169.627374183
831551.799204285,1644169.967545496
831550.863979726,1644170.321510711
831549.931511311,1644170.682762223
831549.000762500,1644171.048417195
831548.071601829,1644171.418084712
831547.143394572,1644171.790142589
831546.216590238,1644172.165655483
831545.291764910,1644172.546046887
831544.372667350,1644172.940067517
831543.454824450,1644173.336936813
831542.545701122,1644173.753341662
831541.644853740,1644174.187433256
831540.754035139,1644174.641702342
831539.876848105,1644175.121686110
831539.013752217,1644175.626627684
831538.165428076,1644176.156033419
831537.326086322,1644176.699567118
831536.503719055,1644177.268302337
831535.692193741,1644177.852613301
