x,y,speed,heading,fix_quality
661744.833685654,1509788.494175137,1.533776,126.85,5
661746.101626990,1509787.561634490,1.6160160000000001,126.94,5
661747.351310522,1509786.665857998,1.480834,128.36,5
661748.492810072,1509785.769414941,1.430976,128.78,4
661749.634650538,1509784.817659118,1.512188,131.59,4
661750.740543340,1509783.847243527,1.409902,134.54,4
661751.647757912,1509782.930918629,1.176032,137.75,4
661752.428303331,1509782.087566428,1.122062,135.85,4
661753.245478229,1509781.152248446,1.218694,141.82,4
661753.918294113,1509780.234479237,1.1117819999999998,141.37,4
661754.392431692,1509779.370800677,0.98431,158,4
661754.812704484,1509778.469913599,0.9066960000000001,165.66,4
661755.160968174,1509777.550144495,1.1148660000000001,165.76,4
661755.438813365,1509776.353366927,1.26187,173.56,4
661755.446652751,1509775.081172346,1.2901399999999998,186.62,4
661755.184145449,1509773.788873565,1.388828,195.99,4
661754.723073328,1509772.532227828,1.291168,203.86,4
661754.171393261,1509771.348776986,1.328176,208.68,4
661753.547476773,1509770.183319345,1.312242,209.25,4
661752.887498847,1509769.017639515,1.35182,209.7,4
661752.173542400,1509767.833188795,1.296308,212.03,4
661751.530799760,1509766.796683333,1.231544,213.01,4
661750.816275130,1509765.704420676,1.292196,212.4,4
661750.083719748,1509764.612046942,1.318924,212.98,4
661749.405142766,1509763.538444143,1.21304,212.84,4
661748.726338513,1509762.501716573,1.311214,213.12,4
661748.029617117,1509761.446440323,1.198648,214.39,4
661747.260545668,1509760.427594903,1.226918,214.57,4
661746.509732064,1509759.371985408,1.350792,216.01,4
661745.687136428,1509758.260618741,1.3667259999999999,216.23,4
661744.864427119,1509757.167689709,1.3893419999999999,217.63,4
661744.005656341,1509756.074538517,1.324578,220.77,4
661743.251446902,1509755.113861436,1.288084,224.23,4
661742.196143416,1509754.182682382,1.26187,227.93,4
661741.227029782,1509753.439179153,1.1883679999999999,234.34,4
661740.184998079,1509752.824294797,1.2366840000000001,244.06,4
661738.943606222,1509752.374126865,1.3795760000000001,255.95,4
661737.610584030,1509752.163092346,1.32098,267.06,4
661736.257599939,1509752.265386021,1.3949960000000001,282.5,4
661734.921056197,1509752.625917269,1.3867720000000001,288.76,4
661733.619665116,1509753.134171568,1.3646699999999998,291.68,4
661732.390624081,1509753.605995083,1.253646,295.15,4
661731.178932218,1509754.188555342,1.341026,295.33,4
661729.930838238,1509754.826206279,1.379062,300.46,4
661728.628538636,1509755.481961608,1.49574,297.69,4
661727.289609746,1509756.229682825,1.479292,300.42,4
661726.041175192,1509756.922646729,1.498824,300.22,4
661724.755997771,1509757.726014117,1.437144,302.3,4
661723.507222595,1509758.474290927,1.487002,301.45,4
661722.168748379,1509759.148261975,1.4541060000000001,299.18,4
661720.884366319,1509759.822566331,1.424294,295.6,4
661719.708622841,1509760.423786830,1.256216,295.22,4
