x,y,speed,heading,fix_quality
661698.528299241,1509961.326089375,1.946518,91.81,4
661700.494197526,1509961.246009283,1.9763300000000001,92.78,4
661702.460323022,1509961.129054135,1.9475460000000002,94.06,4
661704.354894301,1509960.919466784,1.884838,97.76,4
661706.178024971,1509960.598809611,1.805682,100.22,4
661707.911002924,1509960.277597124,1.749656,102.89,4
661709.662693065,1509959.845870224,1.7691880000000002,107.1,4
661711.343397032,1509959.229323056,1.795402,112.87,4
661712.970691013,1509958.501817103,1.789234,117.3,4
661714.562378375,1509957.700338650,1.8025980000000001,116.38,4
661716.172437203,1509956.843658570,1.813906,120.43,4
661717.710941919,1509955.894346190,1.839606,121.78,4
661719.249446755,1509954.945033890,1.896146,124.58,4
661720.625449459,1509954.031597011,1.605736,123.59,4
661722.073574504,1509953.118604582,1.803626,122.2,4
661723.666739390,1509952.077437786,2.005114,124.49,4
661725.350511645,1509950.963076155,1.946518,121.65,4
661726.979965142,1509949.885256526,1.874558,119.93,4
661728.626994913,1509948.881298497,1.992264,123.44,4
661730.238304511,1509947.821805545,1.8128780000000002,122.53,4
661731.740521967,1509946.909146888,1.745544,123.77,4
661733.224822574,1509945.977939599,1.7193300000000002,121.67,4
661734.655258819,1509945.009523863,1.710078,123.62,4
661736.049861266,1509944.004010776,1.76559,124.82,4
661737.426887710,1509942.924636232,1.74503,131.15,4
661738.678495594,1509941.715420772,1.722928,137.94,4
661739.822601864,1509940.394913091,1.714704,142.7,4
661740.823031755,1509938.981328562,1.71419,148.03,4
661741.625352687,1509937.529646653,1.5887740000000001,154.9,4
661742.265512147,1509936.058527173,1.5605040000000001,162.2,4
661742.670138019,1509934.770339316,1.113324,164.1,4
661742.892413047,1509933.812917235,0.922116,167.13,4
661743.095521335,1509933.039760081,0.778196,163.77,4
661743.190559783,1509932.247498666,1.050616,171.7,4
661743.342075947,1509931.068380902,1.284486,175.09,4
661743.422946841,1509929.649129850,1.705452,178.78,4
661743.452111964,1509927.842355791,1.9038560000000002,179.97,4
661743.464382674,1509925.851094587,1.9619380000000002,180.97,4
661743.530858736,1509923.841729111,1.991236,179.29,4
661743.632827864,1509921.924773873,1.911052,178.51,4
661743.644530451,1509920.025700694,1.919276,178.66,4
661743.620285469,1509918.107967697,1.83498,176.03,4
661743.667708348,1509916.264429552,1.780496,174.32,4
661743.732480109,1509914.531628139,1.697228,174.89,4
661743.816532237,1509912.596124198,2.027216,175.97,4
661743.955585069,1509910.513452756,2.0452060000000003,175.11,4
661744.094183438,1509908.504531729,1.9033419999999999,175.34,4
661744.178235563,1509906.569027792,1.932126,176.14,4
661744.262514913,1509904.596648650,1.952686,179.06,5
661744.310392220,1509902.679360103,1.893062,179.13,5
661744.304404947,1509900.724863026,1.9125940000000001,181.08,5
661744.315880180,1509898.862665078,1.84526,181.25,4
661744.254437685,1509897.129085925,1.672042,184.29,4
661744.066326490,1509895.468479434,1.680266,190.07,4
661743.679992239,1509893.788213165,1.7506840000000001,193.9,4
661743.113124658,1509892.143711048,1.769702,205.45,4
661742.329662502,1509890.534750885,1.803112,206.37,4
661741.456047209,1509888.925235230,1.8272700000000002,210.38,4
661739.670937270,1509886.000983485,1.399622,208.34,4
661739.010621448,1509884.890616474,1.289626,213.43,4
661738.206515132,1509883.705610253,1.4911139999999998,215.15,4
661737.384946177,1509882.428304948,1.5214400000000001,213.14,4
661736.528111184,1509881.021714258,1.58826,209.33,4
661735.616729819,1509879.688540716,1.6776959999999999,213.27,4
661734.633793944,1509878.262734803,1.779468,218.66,4
661733.507521897,1509876.688539328,1.933154,216.36,4
661732.290301397,1509875.242851642,1.7733,217.45,4
661731.235583514,1509873.761288699,1.813906,218.89,4
661730.162153261,1509872.390240329,1.72961,219.5,4
661729.161640588,1509870.890573184,1.83241,217.25,4
661728.052944085,1509869.390239522,1.8874080000000002,217.06,4
661726.944588252,1509867.834593116,1.897174,217.38,4
661725.836118682,1509866.297384375,1.887922,219.19,4
661724.600753027,1509864.870023660,1.879698,220.27,4
661723.456108342,1509863.351030468,1.9007720000000001,218.91,4
661722.275288674,1509861.850252761,1.880726,218.75,4
661721.057953233,1509860.423003350,1.8786699999999998,222.33,4
661719.858875471,1509858.958989898,1.8653060000000001,218.67,4
661718.677714605,1509857.513525203,1.884324,220.17,4
661717.442234534,1509856.104602519,1.880726,220.65,4
661716.206754332,1509854.695679910,1.8709600000000002,221.27,4
661714.989531804,1509853.249993256,1.899744,220.73,4
661713.808597583,1509851.767653641,1.8982020000000002,220.0,4
661712.609632593,1509850.285203011,1.910538,220.47,4
661711.338317759,1509848.839183326,1.913108,220.25,4
661710.103064050,1509847.393385880,1.950116,220.54,4
661708.868264548,1509845.873838107,1.9598820000000001,219.56,4
661707.579259409,1509844.372394772,1.949088,220.87,4
661706.326201805,1509842.889611273,1.9254440000000002,219.73,4
661705.109091748,1509841.425487605,1.8791840000000002,221.59,4
661703.855238777,1509840.071767455,1.796944,221.7,4
661702.781351310,1509838.774470932,1.613446,221.57,4
661701.779359124,1509837.514493961,1.655594,221.86,4
661700.759109039,1509836.291281166,1.583634,218.17,4
661699.902043257,1509834.921567281,1.643258,209.06,4
661699.280284354,1509833.405796578,1.594942,197.69,4
661698.983417672,1509831.836712398,1.6370900000000002,189.03,4
661698.867198115,1509830.213426146,1.60882,182.36,4
661698.949542783,1509828.554486488,1.73475,174.71,4
661699.248936667,1509826.786254098,1.802084,166.62,4
661699.818563129,1509825.056562988,1.875072,157.15,4
661700.784409605,1509823.403065879,1.9018000000000002,144.23,5
661702.073672077,1509821.935944111,1.976844,133.73,5
661703.542446133,1509820.598996333,1.974788,129.84,5
661705.081979956,1509819.483744120,1.827784,124.11,5
661706.602915342,1509818.460568908,1.831382,124.39,5
661708.141767923,1509817.455942449,1.8761,124.71,5
661709.699559963,1509816.303926347,1.907454,127.0,5
661711.221290835,1509815.151688165,1.902828,126.03,5
661712.689043463,1509813.980679218,1.864792,127.96,5
661714.228918854,1509812.810114665,1.892034,125.76,5
661715.768226436,1509811.731738190,1.934696,127.34,5
661717.253782951,1509810.597715743,1.893062,127.43,5
661718.739112409,1509809.500568568,1.867876,126.53,5
661720.242927029,1509808.329782147,1.842176,126.1,5
661721.728143156,1509807.251072717,1.708536,126.37,5
661723.068318958,1509806.300537869,1.534804,124.38,5
661724.354062090,1509805.404982621,1.438172,129.06,5
661725.332261683,1509804.673477333,0.975572,126.4,5
661725.929999861,1509804.234640829,0.6532939999999999,126.32,5
661726.419099695,1509803.868888206,1.072204,127.4,5
661727.397185809,1509803.155820585,1.2217779999999998,126.15,4
661728.519971681,1509802.369891312,1.6941439999999999,127.85,4
661729.951437310,1509801.235536207,1.925958,126.81,4
661731.527716393,1509800.009881898,2.041094,128.35,4
661733.194262566,1509798.766345534,2.0010019999999997,128.32,4
661734.734367020,1509797.558906803,2.02259,126.59,4
661736.401027113,1509796.296933011,2.111512,127.62,4
661738.031853235,1509794.997861913,2.034926,126.54,4
