x,y,speed,heading,fix_quality
831534.047044989,1644177.075526045,0.905154,310.18,5
831533.283602970,1644177.748039907,0.9020699999999999,316.76,5
831532.538877677,1644178.365429963,0.926742,309.21,5
831531.866218635,1644178.965353430,0.93805,313.4,5
831531.103285923,1644179.600953033,0.965806,315.3,4
831530.411146504,1644180.311371804,0.967348,315.48,4
831529.665657596,1644180.984133377,0.988422,313.63,4
831528.973772848,1644181.676095021,0.921602,314.45,4
831528.371907238,1644182.350837699,0.970946,315.81,4
831527.697975469,1644183.043047001,0.896416,317.38,4
831527.042251226,1644183.717046797,0.9467880000000001,317.28,4
831526.368064941,1644184.427713273,0.941648,314.17,4
831525.729784494,1644185.138875027,0.93291,319.19,5
831525.091504085,1644185.850036790,0.8989860000000001,320.89,5
831524.507846171,1644186.506570006,0.8912760000000001,318.75,5
831523.922915347,1644187.255388987,0.936508,319.59,5
831523.337984561,1644188.004207975,0.90721,323.02,5
831522.788959601,1644188.753522233,0.901556,323.51,5
831522.132217299,1644189.501350712,0.8995,325.39,5
831521.600890716,1644190.269369766,0.877912,326.3,4
831520.979799689,1644191.036150675,0.869174,326.23,4
831520.394614489,1644191.803426851,0.97917,326.93,4
831519.862778833,1644192.608360226,0.941648,327.61,5
831519.366594408,1644193.432246016,0.8912760000000001,329.52,5
831518.941966996,1644194.275579477,0.862492,331.68,5
831518.481942993,1644195.081503381,0.90721,330.64,5
831518.112192638,1644195.851751130,0.8712300000000001,332.83,5
831517.670121576,1644196.657922668,0.9231440000000001,332.29,5
831517.228559708,1644197.427179908,0.8481,331.39,5
831516.679280532,1644198.194951382,0.9066960000000001,331.83,5
831516.201303772,1644199.000627674,0.91749,329.22,5
831515.900564665,1644199.974894600,0.907724,330.79,5
831515.476192032,1644200.799770929,0.850156,333.62,4
831515.052583171,1644201.569275811,0.939078,333.39,4
831514.592304819,1644202.393656891,0.9509000000000001,335.65,4
831514.150233960,1644203.199828450,0.862492,333.55,4
831513.726370588,1644203.987790490,0.8763700000000001,333.29,4
831513.319950961,1644204.812914459,0.9108080000000001,331.97,4
831512.895578475,1644205.637790802,0.915434,332.29,4
831512.525064658,1644206.463410027,0.852726,336.04,5
831512.064786458,1644207.287791123,0.911322,337.45,5
831511.639395720,1644208.186496073,0.924686,333.77,5
831511.160400949,1644209.066000998,0.9560400000000001,335.77,5
831510.753217723,1644209.946496428,0.97146,337.94,5
831510.310128767,1644210.826496610,0.942162,335.68,5
831509.902945591,1644211.706992043,0.9586100000000001,337.6,5
831509.531159031,1644212.624897028,0.991506,338.63,5
831509.123975901,1644213.505392464,0.8995,342.48,5
831508.787840554,1644214.442249850,0.972488,340.19,5
831508.434006936,1644215.360402460,0.9544980000000001,340.71,5
831508.097617047,1644216.315716996,0.983282,343.68,5
831507.797387506,1644217.253069630,0.96632,342.08,5
831507.497157981,1644218.190422265,0.9781420000000001,344.83,5
831507.197183051,1644219.109317749,0.966834,342.31,5
831506.915161005,1644220.028460857,0.967348,343.9,5
