x,y
831513.668918358,1644292.602849766
831513.867479198,1644293.582918111
831514.070395641,1644294.562113227
831514.279826946,1644295.539935792
831514.495883262,1644296.516292610
831514.723914678,1644297.489944045
831514.955877801,1644298.462622367
831515.197779143,1644299.432921273
831515.443458838,1644300.402260058
831515.702874211,1644301.368003612
831515.984185016,1644302.327578579
831516.270232688,1644303.285788069
831516.576409644,1644304.237747992
831516.898962583,1644305.184265920
831517.232280360,1644306.127079685
831517.577915163,1644307.065367196
831517.954338137,1644307.991709712
831518.364458968,1644308.903661832
831518.807953002,1644309.799867496
831519.285899442,1644310.678149949
831519.795885566,1644311.538210107
831520.332396296,1644312.382027855
831520.890429632,1644313.211754916
831521.478251469,1644314.020466878
831522.094290365,1644314.808079762
831522.722295535,1644315.586280119
831523.363145598,1644316.353896980
831524.016088836,1644317.111282224
831524.676647507,1644317.862049329
831525.343402365,1644318.607321026
831526.014777976,1644319.348436053
831526.698869921,1644320.077811776
831527.394715246,1644320.795991338
831528.094996809,1644321.509856920
831528.802547225,1644322.216516639
831529.514233494,1644322.919013449
831530.211161610,1644323.636152781
831530.905776234,1644324.355532499
831531.594468974,1644325.080582128
831532.279903901,1644325.808679721
831532.983131937,1644326.519511091
831533.711842940,1644327.204216733
831534.459440696,1644327.868356843
831535.215807694,1644328.522416587
831535.985126409,1644329.161281259
831536.752896799,1644329.801974034
831537.510714322,1644330.454402317
831538.265184456,1644331.110686297
831539.026666699,1644331.758871452
831539.789492729,1644332.405465243
831540.560721857,1644333.041955706
831541.340251041,1644333.668312129
831542.118534081,1644334.296209914
831542.894146849,1644334.927418850
831543.673125305,1644335.554454573
831544.456059622,1644336.176555235
831545.242630072,1644336.794049400
831546.034623175,1644337.404566133
831546.828888164,1644338.012137244
831547.624097542,1644338.618471991
831548.420686362,1644339.222993220
831549.214017284,1644339.831781813
831550.011367820,1644340.435295566
831550.811727619,1644341.034815416
831551.611638691,1644341.634928931
831552.409131920,1644342.238256827
831553.204964528,1644342.843765192
831553.996885611,1644343.454382422
831554.763852701,1644344.095297602
831555.511099925,1644344.759838426
831556.255575948,1644345.427486293
831557.002829719,1644346.092020943
831557.751116530,1644346.755396272
831558.535389352,1644347.375791123
831559.321787162,1644347.993511517
831560.107309373,1644348.612340194
831560.890063585,1644349.234671057
831561.670373602,1644349.860051451
831562.445989389,1644350.491250539
831563.217482059,1644351.127481248
831563.986290095,1644351.766959850
831564.757658832,1644352.403342669
831565.531307640,1644353.036956720
831566.307445013,1644353.667510230
831567.097448821,1644354.280593448
831567.895031183,1644354.883803221
831568.696732465,1644355.481414036
831569.512293174,1644356.060033722
831570.335066307,1644356.628393620
831571.157799023,1644357.196815466
831571.982361353,1644357.762575330
831572.809759229,1644358.324189831
831573.638630375,1644358.883628960
831574.470082302,1644359.439224631
831575.304132916,1644359.990902062
831576.142488938,1644360.536024460
831576.980526196,1644361.081635215
831577.818963667,1644361.626629177
831578.660805281,1644362.166273811
831579.507876396,1644362.697753373
831580.356128847,1644363.227342894
831581.206364129,1644363.753743511
831582.059662573,1644364.275161220
831582.910028506,1644364.801348147
831583.764633323,1644365.320625317
831584.620145292,1644365.838407886
831585.474305171,1644366.358415668
831586.328081013,1644366.879044825
831587.185638791,1644367.393425526
831588.044387249,1644367.905821976
831588.906248504,1644368.412928400
831589.771999657,1644368.913400310
831590.637623906,1644369.414093793
831591.503144691,1644369.914966788
831592.373092228,1644370.408104470
831593.251872998,1644370.885289243
831594.142948380,1644371.339049378
831595.047049296,1644371.766194583
831595.964986631,1644372.162673753
831596.895396240,1644372.529016737
831597.835832401,1644372.868690491
831598.784785687,1644373.183993960
831599.738842793,1644373.483544771
831600.698107501,1644373.765926000
831601.659738228,1644374.040269994
831602.622935787,1644374.309057017
831603.592135041,1644374.555289839
831604.563825459,1644374.791530031
831605.537801471,1644375.018113323
831606.513863850,1644375.235603798
831607.489299805,1644375.455869898
831608.463768607,1644375.680389954
831609.436934498,1644375.910462471
831610.407657370,1644376.150610743
831611.376115995,1644376.399761820
831612.344065714,1644376.650905885
831613.308339410,1644376.915757091
831614.273021931,1644377.179170788
831615.237152745,1644377.444588426
831616.203959540,1644377.700091541
831617.170185241,1644377.957682829
831618.141097288,1644378.197117947
831619.113415645,1644378.430634220
831620.089625196,1644378.647442251
831621.067955092,1644378.854360085
831622.048683090,1644379.049734556
831623.030341804,1644379.240342982
831624.011925861,1644379.431310805
831624.993187825,1644379.623966552
831625.974958691,1644379.814034875
831626.956900166,1644380.003218770
831627.939701568,1644380.187866523
831628.924272323,1644380.362793768
831629.910704238,1644380.526915098
831630.898367747,1644380.683490687
831631.888398758,1644380.824258782
831632.881049645,1644380.945179966
831633.875620887,1644381.049192789
831634.871475611,1644381.140129534
831635.868816305,1644381.212936183
831636.867103932,1644381.271358690
831637.865968306,1644381.318945406
831638.865623521,1644381.344760875
831639.865515424,1644381.359228474
831640.865504173,1644381.362972973
831641.865402487,1644381.349695112
831642.865019099,1644381.322389700
831643.864149535,1644381.281036186
831644.862002109,1644381.216313231
831645.857822072,1644381.125614745
831646.851084571,1644381.010168346
831647.842049151,1644380.876214220
831648.830834470,1644380.726994912
831649.818114452,1644380.568040852
831650.804730410,1644380.404984130
831651.790278313,1644380.235612165
831652.772653379,1644380.048869790
831653.752976870,1644379.851496866
831654.732338094,1644379.649384157
831655.703394330,1644379.410875470
831656.670105190,1644379.155026309
831657.629843527,1644378.874215363
831658.580175886,1644378.563069588
831659.523116678,1644378.230110239
831660.464718262,1644377.893404302
831661.403948457,1644377.550140879
831662.346615241,1644377.216419867
831663.291463318,1644376.888915092
831664.239121530,1644376.569746556
831665.192446966,1644376.267900273
831666.149139435,1644375.976804643
831667.107898099,1644375.692639969
831668.069513569,1644375.418268224
831669.030205330,1644375.140718927
831669.992302742,1644374.868123879
831670.957099964,1644374.605142724
831671.922973480,1644374.346131890
831672.889531051,1644374.089683812
831673.854967449,1644373.829053338
831674.812884263,1644373.542183567
831675.765238179,1644373.237229549
831676.711467888,1644372.913770660
831677.650622752,1644372.570302012
831678.589396147,1644372.225769348
831679.525645311,1644371.874434918
831680.460143906,1644371.518469663
831681.393002325,1644371.158243470
831682.322673731,1644370.789857789
831683.252232386,1644370.421221120
831684.186214414,1644370.063934734
831685.125706800,1644369.721562049
831686.074495787,1644369.406047643
831687.033050145,1644369.121487334
831687.998870431,1644368.862484562
831688.969804642,1644368.623305594
831689.943894753,1644368.397185605
831690.919762172,1644368.178846018
831691.897812429,1644367.970538162
831692.877473733,1644367.769896376
831693.858415693,1644367.575609489
831694.838817327,1644367.378604747
831695.819020475,1644367.180610386
831696.800027623,1644366.986640933
831697.780825303,1644366.791615171
831698.762937372,1644366.603322702
831699.746529849,1644366.423039911
831700.733517980,1644366.262259628
831701.721510027,1644366.107798162
831702.710872294,1644365.962385329
831703.701726420,1644365.827576969
831704.694009871,1644365.703646416
831705.687595902,1644365.590776475
831706.683027332,1644365.495785683
831707.679492533,1644365.411800894
831708.676551108,1644365.335248403
831709.673870004,1644365.262072387
831710.671540833,1644365.193886087
831711.669694761,1644365.133188917
831712.668149450,1644365.077624880
831713.667496955,1644365.041657791
831714.667286567,1644365.021437997
831715.667238273,1644365.011610231
831716.667179453,1644365.007080140
831717.667084205,1644365.020881836
831718.666938334,1644365.037534197
831719.666665138,1644365.060834710
831720.666165622,1644365.091882846
831721.665292629,1644365.133459129
831722.664464491,1644365.173945707
831723.664009607,1644365.203592426
831724.663746738,1644365.226453471
831725.663353214,1644365.254312978
831726.662919123,1644365.283774611
831727.662102278,1644365.324022113
831728.660064389,1644365.387683300
831729.657405609,1644365.460504087
831730.653973235,1644365.543279151
831731.650694603,1644365.624134194
831732.646962023,1644365.710400615
831733.643381856,1644365.794684360
831734.639049001,1644365.887608770
831735.635086136,1644365.976535257
831736.630807405,1644366.068923504
831737.625977635,1644366.167013425
831738.621061150,1644366.265995219
831739.616026073,1644366.366130695
831740.610563216,1644366.470513433
831741.605143861,1644366.574480271
831742.599760237,1644366.678105868
831743.594086039,1644366.784473398
831744.588726389,1644366.887854588
831745.583127314,1644366.993521364
831746.576711396,1644367.106597383
831747.570265709,1644367.219954442
831748.563945982,1644367.332201955
831749.557651202,1644367.444226449
831750.550987912,1644367.559474790
831751.544360474,1644367.674408487
831752.538122318,1644367.785926350
831753.531459909,1644367.901162463
831754.524444001,1644368.019410416
831755.517400142,1644368.137892630
831756.510229220,1644368.257364089
831757.501771570,1644368.387147275
831758.493047448,1644368.518920440
831759.483367065,1644368.657714068
831760.473126669,1644368.800457787
831761.462623069,1644368.945003404
831762.450745773,1644369.098402174
831763.436230715,1644369.268135020
831764.420177985,1644369.446515250
831765.401228561,1644369.640016860
831766.378680254,1644369.851063832
831767.357134491,1644370.057242921
831768.335119075,1644370.265706553
831769.310917102,1644370.484369728
831770.286262600,1644370.705052843
831771.260893545,1644370.928865337
831772.230881526,1644371.171876580
831773.204097691,1644371.401700404
831774.175950678,1644371.637238167
831775.143685004,1644371.889163298
831776.107345853,1644372.156150250
831777.066106835,1644372.440290188
831778.020821944,1644372.737765837
831778.973646758,1644373.041284216
831779.923502087,1644373.353972033
831780.870909656,1644373.673845716
831781.812440637,1644374.010761113
831782.751792277,1644374.353705497
831783.690733543,1644374.697782418
831784.630902935,1644375.038481213
831785.573279104,1644375.373028075
831786.516609900,1644375.704764223
831787.464044246,1644376.024711265
831788.412557414,1644376.341446298
831789.359840328,1644376.661840455
831790.305594015,1644376.986599780
831791.245838661,1644377.327092567
831792.180851081,1644377.681593059
831793.114142729,1644378.040711389
831794.046834019,1644378.401385211
831794.984506738,1644378.748616028
831795.929790841,1644379.074828549
831796.877086020,1644379.395188326
831797.830534708,1644379.696659048
831798.788438955,1644379.983746853
831799.747776978,1644380.265953254
831800.711216526,1644380.533796963
831801.675885246,1644380.797259558
831802.636542314,1644381.074934277
831803.591961573,1644381.370073061
831804.541358270,1644381.684039899
831805.484472450,1644382.016419911
831806.423836577,1644382.359329498
831807.359324451,1644382.712682089
831808.297072807,1644383.059987278
831809.234983729,1644383.406851643
831810.171599866,1644383.757208278
831811.109394862,1644384.104382459
831812.049450368,1644384.445376006
831812.992210040,1644384.778377740
831813.938692227,1644385.101059065
831814.885715225,1644385.422205029
831815.829969871,1644385.751380137
831816.778209774,1644386.068921799
831817.732141254,1644386.368615326
831818.690949964,1644386.652658666
831819.652337725,1644386.927833266
831820.617434328,1644387.189721045
831821.582580155,1644387.451403464
831822.550386955,1644387.703049733
831823.522289802,1644387.938226627
831824.497795956,1644388.158137301
831825.474807011,1644388.371316505
831826.452563881,1644388.581054095
831827.431327621,1644388.786035167
831828.408358525,1644388.999091475
831829.383148750,1644389.222188913
831830.358075847,1644389.444712415
831831.334613537,1644389.660051688
831832.311273971,1644389.874792024
831833.292780634,1644390.066185060
831834.276525568,1644390.245753416
831835.261121674,1644390.420526256
831836.248120148,1644390.581118499
831837.237260187,1644390.728092192
831838.226437068,1644390.874744060
831839.217362726,1644391.009070218
831840.209876688,1644391.131187699
831841.203046384,1644391.247843749
831842.197083712,1644391.356850776
831843.192250410,1644391.455049995
831844.187803984,1644391.549247029
831845.183168393,1644391.645421369
831846.178787265,1644391.738920073
831847.174696865,1644391.829265251
831848.170716191,1644391.918402180
831849.168264306,1644391.986812040
831850.167273872,1644392.029253793
831851.167004718,1644392.050052478
831852.166798585,1644392.043614977
831853.165107506,1644391.992777977
831854.161198562,1644391.904483199
831855.156050749,1644391.803906336
831856.147573960,1644391.674975996
831857.135854984,1644391.522336616
831858.124247331,1644391.370486727
831859.113712260,1644391.225717663
831860.102942614,1644391.079351313
831861.092815815,1644390.937671489
831862.085434533,1644390.816398825
831863.078281019,1644390.697026276
831864.070104553,1644390.569423987
831865.060959816,1644390.434499504
831866.051076945,1644390.294271732
831867.039632275,1644390.143426278
831868.026252674,1644389.980391987
831869.012661179,1644389.816131583
831869.994205053,1644389.624917220
831870.972125454,1644389.415980898
831871.945767713,1644389.187909279
831872.917481112,1644388.951757171
831873.887534698,1644388.708920498
831874.862244343,1644388.485474912
831875.840158701,1644388.276473519
831876.819667629,1644388.075072777
831877.801435025,1644387.884992576
831878.784077742,1644387.699488385
831879.766338854,1644387.511972324
831880.746881837,1644387.315706990
831881.725878047,1644387.111853078
831882.703063575,1644386.899507318
