x,y,speed,heading,fix_quality
661565.937813815,1509883.345328620,0.762776,46.32,4
661566.493244147,1509883.920334460,0.8326800000000001,44.7,4
661567.084735650,1509884.495562284,0.810578,44.79,4
661567.658196528,1509885.070679140,0.80955,45.54,4
661568.249687980,1509885.645906997,0.811606,45.51,4
661568.805004720,1509886.239350488,0.803896,45.6,4
661569.360321437,1509886.832793995,0.831138,43.31,4
661569.933782216,1509887.407910911,0.836278,44.26,4
661570.507015982,1509888.019903026,0.8198300000000001,44.78,4
661571.080249723,1509888.631895156,0.811606,40.6,4
661571.635566335,1509889.225338722,0.835764,42.98,4
661572.190542439,1509889.874095076,0.835764,42.16,4
661572.727714911,1509890.485865273,0.8326800000000001,40.41,4
661573.282917953,1509891.097746474,0.80184,43.0,4
661573.819863384,1509891.746391882,0.812634,40.54,4
661574.357035778,1509892.358162121,0.8090360000000001,40.7,4
661574.876177556,1509892.969821383,0.8213720000000001,41.71,4
661575.413122907,1509893.618466834,0.8558100000000001,38.73,4
661575.932037640,1509894.267001305,0.8162320000000001,40.79,4
661576.469096434,1509894.897209191,0.8131480000000001,39.76,4
661576.988011117,1509895.545743690,0.823428,39.68,4
661577.506925772,1509896.194278202,0.799784,39.34,4
661578.007809807,1509896.842701733,0.83011,38.82,4
661578.526724409,1509897.491236271,0.8794540000000001,35.54,4
661578.991433719,1509898.157875431,0.816746,40.86,4
661579.474060093,1509898.843063189,0.842446,33.09,4
661579.956572941,1509899.546688551,0.833194,35.41,4
661580.457570349,1509900.176674552,0.803382,33.79,4
661580.922279559,1509900.843313757,0.8388479999999999,34.74,4
661581.404905831,1509901.528501562,0.82754,32.61,4
661581.869501485,1509902.213578382,0.86095,33.3,4
661582.315953030,1509902.916981809,0.827026,33.89,4
661582.780435136,1509903.620496243,0.8738,32.06,4
661583.244917210,1509904.324010689,0.814176,33.02,4
661583.691368680,1509905.027414147,0.850156,33.03,4
661584.137820121,1509905.730817616,0.8280540000000001,32.87,4
661584.584271539,1509906.434221096,0.8481,33.5,4
661585.030609424,1509907.156062179,0.8280540000000001,30.78,4
661585.495204878,1509907.841139086,0.8429599999999999,34.25,4
661585.941656217,1509908.544542597,0.81469,33.86,4
661586.388107534,1509909.247946119,0.839362,34.09,4
661586.816528242,1509909.951238651,0.820858,32.72,4
661587.244948926,1509910.654531192,0.80698,34.99,4
661587.709430747,1509911.358045745,0.835764,33.62,4
661588.137851381,1509912.061338307,0.816746,33.5,4
661588.584416081,1509912.746304287,0.8280540000000001,33.43,4
661589.067041907,1509913.431492283,0.857866,32.76,4
661589.531410118,1509914.153444474,0.82754,36.06,4
661590.014149404,1509914.820194900,0.8285680000000001,35.63,4
661590.515146261,1509915.450181155,0.834222,41.2,4
661591.070234821,1509916.080500435,0.823428,44.11,4
661591.661611530,1509916.674166553,0.802868,49.34,4
661592.289503404,1509917.194304324,0.829082,55.36,4
661592.953910454,1509917.640913751,0.7704860000000001,60.66,4
661593.654832679,1509918.013994836,0.8131480000000001,66.63,4
661594.410300661,1509918.313658589,0.7967000000000001,68.83,4
661595.202283829,1509918.539794005,0.800298,79.4,4
661595.976576953,1509918.710505659,0.8198300000000001,82.35,4
661596.787498786,1509918.789251386,0.798756,85.71,4
661597.580730589,1509918.812573350,0.7843640000000001,89.84,4
661598.355931816,1509918.835784328,0.7694580000000001,87.38,4
661599.149277136,1509918.840668745,0.798756,85.37,4
661599.942168392,1509918.919303561,0.785906,86.23,4
